,Semester,SNum,Days,CurrentEnroll,Status_Instructor,LowerDiv,Year,Location,Time2,Days2,CNum,Area,CredHours,NumAttributes,CrossList,Req,s2,SYear
1,fall,1,"M,W,F",60,P,0,2003,main,Morning,3,3560,Crim,3,0,0,0,2,2003.2
2,fall,1,"M,W,F",61,P,0,2003,main,Morning,3,3562,Crim,3,0,0,0,2,2003.2
3,fall,2,TBA,1,P,0,2003,main,,2,3951,,NA,NA,NA,NA,2,2003.2
4,fall,2,"T,H",47,P,0,2002,main,Morning,2,3112,None,4,2,0,1,2,2002.2
5,fall,1,W,0,P,0,2003,main,Afternoon,1,5115,,NA,NA,NA,NA,2,2003.2
6,fall,1,"M,W,F",56,A,0,2002,main,Morning,3,3111,None,3,0,0,1,2,2002.2
7,fall,1,"M,W,F",54,P,0,2003,main,Morning,3,3471,,NA,NA,NA,NA,2,2003.2
8,fall,10,T,53,A,0,2003,main,Evening,1,3560,Crim,3,0,0,0,2,2003.2
9,fall,1,"M,W,F",66,P,0,2003,main,Morning,3,3561,Crim,3,0,0,0,2,2003.2
10,fall,70,H,38,A,0,2003,sandy,Evening,1,3561,Crim,3,0,0,0,2,2003.2
11,fall,1,"M,W,F",61,P,0,2003,main,Morning,3,3473,,NA,NA,NA,NA,2,2003.2
12,fall,1,TBA,16,A,0,2003,main,,2,3593,Crim,3,0,0,0,2,2003.2
13,fall,1,TBA,0,P,0,2003,main,,2,3950,,NA,NA,NA,NA,2,2003.2
14,fall,2,"M,W,F",61,A,1,2002,main,Morning,3,1020,None,3,0,0,0,2,2002.2
15,fall,70,W,46,A,1,2002,sandy,Evening,1,1010,None,4,0,0,1,2,2002.2
16,fall,10,W,55,A,0,2003,main,Evening,1,3965,,NA,NA,NA,NA,2,2003.2
17,fall,1,H,0,A?,0,2003,main,Afternoon,1,5050,,NA,NA,NA,NA,2,2003.2
18,fall,1,"T,H",64,P,0,2003,main,Morning,2,3450,,NA,NA,NA,NA,2,2003.2
19,fall,1,"M,W,F",24,A,0,2007,main,Afternoon,3,3040,,NA,NA,NA,NA,2,2007.2
20,fall,2,"T,H",53,A,0,2002,main,Morning,2,3111,None,3,0,0,1,2,2002.2
21,fall,10,W,54,A,0,2002,main,Evening,1,3111,None,3,0,0,1,2,2002.2
22,fall,1,"T,H",52,P,0,2002,main,Morning,2,3140,None,3,0,0,1,2,2002.2
23,fall,20,T,13,A,0,2003,bountiful,Evening,1,3561,Crim,3,0,0,0,2,2003.2
24,fall,20,H,34,A,1,2002,bountiful,Evening,1,1010,None,4,0,0,1,2,2002.2
25,fall,90,TBA,43,P,1,2007,online,,2,1015,None,2,0,0,1,2,2007.2
26,fall,1,"T,H",54,P,1,2002,main,Morning,2,1020,None,3,0,0,0,2,2002.2
27,fall,2,"M,W,F",56,A,0,2002,main,Morning,3,3337,DV,3,2,1,0,2,2002.2
28,fall,1,TBA,0,P,0,2003,main,,2,3952,,NA,NA,NA,NA,2,2003.2
29,fall,10,W,50,A,0,2002,main,Evening,1,3020,None,3,0,0,0,2,2002.2
30,fall,20,H,23,A,0,2003,bountiful,Evening,1,3438,,NA,NA,NA,NA,2,2003.2
31,fall,20,W,17,A,0,2002,bountiful,Evening,1,3030,None,3,0,0,0,2,2002.2
32,fall,1,"T,H",55,P,0,2002,main,Morning,2,3380,DV,3,1,1,0,2,2002.2
33,fall,1,"T,H",27,P,0,2002,main,Morning,2,3433,Global,3,0,0,0,2,2002.2
34,fall,1,"T,H",22,P,0,2002,main,Afternoon,2,3436,Global,3,0,0,0,2,2002.2
35,fall,1,"M,W,F",64,A,0,2002,main,Morning,3,3438,,NA,NA,NA,NA,2,2002.2
36,fall,1,"T,H",65,P,0,2002,main,Morning,2,3450,,NA,NA,NA,NA,2,2002.2
37,fall,2,"T,H",57,P,0,2002,main,Morning,2,3471,,NA,NA,NA,NA,2,2002.2
38,fall,2,"T,H",55,P,0,2002,main,Morning,2,3473,,NA,NA,NA,NA,2,2002.2
39,fall,70,H,38,A,0,2002,sandy,Evening,1,3560,Crim,3,0,0,0,2,2002.2
40,fall,10,H,29,A,0,2001,main,Evening,1,3030,None,3,0,0,0,2,2001.2
41,fall,2,"T,H",64,P,0,2002,main,Morning,2,3020,None,3,0,0,0,2,2002.2
42,fall,70,H,38,A,0,2002,sandy,Evening,1,3561,Crim,3,0,0,0,2,2002.2
43,fall,2,"T,H",51,P,0,2002,main,Morning,2,3030,None,3,0,0,0,2,2002.2
44,fall,1,"M,W,F",37,P,0,2003,main,Morning,3,3433,Global,3,0,0,0,2,2003.2
45,fall,1,"M,W,F",58,A,0,2003,main,Morning,3,3438,,NA,NA,NA,NA,2,2003.2
46,fall,1,"M,W,F",159,A,1,2007,main,Morning,3,1010,None,4,0,0,1,2,2007.2
47,fall,2,"M,W,F",117,A,1,2007,main,Morning,3,1010,None,4,0,0,1,2,2007.2
48,fall,2,"M,W,F",197,A,1,2002,main,Morning,3,1010,None,4,0,0,1,2,2002.2
49,fall,3,"T,H",66,A,1,2002,main,Morning,2,1010,None,4,0,0,1,2,2002.2
50,fall,10,T,75,A,1,2002,main,Evening,1,1010,None,4,0,0,1,2,2002.2
51,fall,70,W,33,A,1,2007,sandy,Evening,1,1010,None,4,0,0,1,2,2007.2
52,fall,3,"M,W,F",61,A,1,2000,main,Morning,3,1010,None,4,0,0,1,2,2000.2
53,fall,1,"M,W,F",59,G,1,2007,main,Morning,3,1020,None,3,0,0,0,2,2007.2
54,fall,2,"T,H",52,P,1,2007,main,Afternoon,2,1020,None,3,0,0,0,2,2007.2
55,fall,1,"M,W,F",59,A,0,2007,main,Morning,3,3020,None,3,0,0,0,2,2007.2
56,fall,20,W,7,A,0,2007,bountiful,Evening,1,3020,None,3,0,0,0,2,2007.2
57,fall,1,"M,W,F",18,G,0,2007,main,Afternoon,3,3030,None,3,0,0,0,2,2007.2
58,fall,70,H,35,A,0,2007,sandy,Evening,1,3030,None,3,0,0,0,2,2007.2
59,fall,1,T,66,A,0,2000,main,Evening,1,3965,,NA,NA,NA,NA,2,2000.2
60,fall,1,"M,W,F",16,A,0,2007,main,Morning,3,3111,None,3,0,0,1,2,2007.2
61,fall,2,"T,H",53,P,0,2007,main,Morning,2,3111,None,3,0,0,1,2,2007.2
62,fall,1,"M,W,F",34,P,0,2002,main,Morning,3,3112,None,4,2,0,1,2,2002.2
63,fall,1,"M,W,F",178,P,1,2006,main,Morning,3,1010,None,4,0,0,1,2,2006.2
64,fall,2,"M,W,F",23,A,0,2002,main,Morning,3,3140,None,3,0,0,1,2,2002.2
65,fall,20,T,30,A,0,2002,bountiful,Evening,1,3140,None,3,0,0,1,2,2002.2
66,fall,1,H,19,P,0,2002,main,Afternoon,1,3200,DV,4,1,0,0,2,2002.2
67,fall,1,"M,W,F",34,A,0,2002,main,Morning,3,3337,DV,3,2,1,0,2,2002.2
68,fall,2,"M,W,F",181,P,1,2001,main,Morning,3,1010,None,4,0,0,1,2,2001.2
69,fall,3,"T,H",67,A,1,2001,main,Morning,2,1010,None,4,0,0,1,2,2001.2
70,fall,1,"M,W,F",35,P,1,2006,main,Morning,3,1020,None,3,0,0,0,2,2006.2
71,fall,1,"T,H",71,P,0,2002,main,Morning,2,3365,DV,3,2,1,0,2,2002.2
72,fall,10,W,40,A,0,2004,main,Evening,1,3965,,NA,NA,NA,NA,2,2004.2
73,fall,1,H,1,P,0,2004,main,Afternoon,1,5050,,NA,NA,NA,NA,2,2004.2
74,fall,2,"T,H",41,P,0,2003,main,Morning,2,3112,None,4,2,0,1,2,2003.2
75,fall,70,W,42,A,0,2003,sandy,Evening,1,3112,None,4,2,0,1,2,2003.2
76,fall,1,"M,W,F",47,A,0,2003,main,Morning,3,3140,None,3,0,0,1,2,2003.2
77,fall,20,W,8,A,0,2003,bountiful,Evening,1,3140,None,3,0,0,1,2,2003.2
78,fall,1,H,10,P,0,2003,main,Afternoon,1,3200,DV,4,1,0,0,2,2003.2
79,fall,10,M,59,A,0,2003,main,Evening,1,3334,DV,3,0,0,0,2,2003.2
80,fall,1,"M,W,F",59,A,0,2002,main,Morning,3,3561,Crim,3,0,0,0,2,2002.2
81,fall,2,"T,H",69,P,0,2002,main,Morning,2,3561,Crim,3,0,0,0,2,2002.2
82,fall,70,H,32,A,0,2003,sandy,Evening,1,3337,DV,3,2,1,0,2,2003.2
83,fall,1,"T,H",69,P,0,2002,main,Morning,2,3562,Crim,3,0,0,0,2,2002.2
84,fall,1,"T,H",56,P,0,2002,main,Afternoon,2,3563,Crim,3,0,0,0,2,2002.2
