"SNum"	"Days"	"CurrentEnroll"	"Status"	"LowerDiv"	"Year"	"Semester"	"Location"	"Time2"	"Days2"	"CNum"	"Area"	"CredHours"	"NumAttributes"	"CrossList"	"Req"
2	"M,W,F"	200	"?"	1	2000	"spring"	"main"	"Morning"	3	1010	"None"	4	0	0	1
3	"M,W,F"	69	"A"	1	2000	"spring"	"main"	"Morning"	3	1010	"None"	4	0	0	1
10	"H"	57	"A"	1	2000	"spring"	"main"	"Evening"	1	1010	"None"	4	0	0	1
1	"M,W,F"	70	"?"	1	2000	"spring"	"main"	"Morning"	3	1020	"None"	3	0	0	0
2	"T,H"	57	"P"	1	2000	"spring"	"main"	"Morning"	2	1020	"None"	3	0	0	0
3	"T,H"	66	"P"	1	2000	"spring"	"main"	"Morning"	2	1020	"None"	3	0	0	0
1	"M,W,F"	60	"P"	0	2000	"spring"	"main"	"Morning"	3	3020	"None"	3	0	0	0
2	"M,W,F"	60	"P"	0	2000	"spring"	"main"	"Morning"	3	3020	"None"	3	0	0	0
3	"T,H"	53	"P"	0	2000	"spring"	"main"	"Afternoon"	2	3020	"None"	3	0	0	0
1	"M,W,F"	52	"A"	0	2000	"spring"	"main"	"Morning"	3	3030	"None"	3	0	0	0
2	"T,H"	28	"P"	0	2000	"spring"	"main"	"Morning"	2	3030	"None"	3	0	0	0
10	"M"	23	"A"	0	2000	"spring"	"main"	"Evening"	1	3030	"None"	3	0	0	0
1	"M,W,F"	49	"?"	0	2000	"spring"	"main"	"Morning"	3	3111	"None"	3	0	0	1
2	"M,W,F"	55	"P"	0	2000	"spring"	"main"	"Morning"	3	3111	"None"	3	0	0	1
1	"M,W,F"	32	"P"	0	2000	"spring"	"main"	"Morning"	3	3112	"None"	4	2	0	1
2	"T,H"	10	"P"	0	2000	"spring"	"main"	"Morning"	2	3112	"None"	4	2	0	1
3	"T,H"	22	"P"	0	2000	"spring"	"main"	"Morning"	2	3112	"None"	4	2	0	1
10	"T"	35	"G"	0	2000	"spring"	"main"	"Evening"	1	3112	"None"	4	2	0	1
70	"H"	45	"A"	0	2000	"spring"	"sandy"	"Evening"	1	3112	"None"	4	2	0	1
1	"T,H"	63	"P"	0	2000	"spring"	"main"	"Morning"	2	3140	"None"	3	0	0	1
2	"T,H"	20	"P"	0	2000	"spring"	"main"	"Afternoon"	2	3140	"None"	3	0	0	1
20	"M"	16	"A"	0	2000	"spring"	"bountiful"	"Evening"	1	3140	"None"	3	0	0	1
1	"M,W,F"	29	"P"	0	2000	"spring"	"main"	"Morning"	3	3334	"DV"	3	0	0	0
1	"M,W,F"	64	"A"	0	2000	"spring"	"main"	"Morning"	3	3337	"DV"	3	2	1	0
20	"W"	28	"A"	0	2000	"spring"	"bountiful"	"Evening"	1	3337	"DV"	3	2	1	0
1	"M,W,F"	42	"P"	0	2000	"spring"	"main"	"Morning"	3	3341					
1	"M,W,F"	95	"P"	0	2000	"spring"	"main"	"Morning"	3	3380	"DV"	3	1	1	0
1	"M,W,F"	22	"P"	0	2000	"spring"	"main"	"Morning"	3	3382					
1	"T,H"	26	"P"	0	2000	"spring"	"main"	"Morning"	2	3422					
20	"T"	8	"A"	0	2000	"spring"	"bountiful"	"Evening"	1	3431					
1	"M,W,F"	9	"P"	0	2000	"spring"	"main"	"Morning"	3	3433	"Global"	3	0	0	0
1	"M,W,F"	33	"A"	0	2000	"spring"	"main"	"Afternoon"	3	3438					
70	"M"	40	"A"	0	2000	"spring"	"sandy"	"Evening"	1	3438					
20	"H"	24	"A"	0	2000	"spring"	"bountiful"	"Evening"	1	3471					
50	"S"	7	"A"	0	2000	"spring"	"park city"	"Morning"	1	3471					
1	"T,H"	63	"P"	0	2000	"spring"	"main"	"Morning"	2	3472					
1	"T,H"	56	"P"	0	2000	"spring"	"main"	"Morning"	2	3473					
2	"T,H"	38	"P"	0	2000	"spring"	"main"	"Morning"	2	3473					
1	"T,H"	4	"P"	0	2000	"spring"	"main"	"Morning"	2	3474					
1	"H"	59	"A"	0	2000	"spring"	"main"	"Evening"	1	3560	"Crim"	3	0	0	0
