"2","7185","GEOGR","1200","001","Earth Sys/Global Cha","112","60","52",1200,1,"1004"
"4","1391","GEOGR","1200","002","Earth Sys/Global Cha","50","17","33",1200,2,"1004"
"6","12480","GEOGR","1200","020","Earth Sys/Global Cha","40","9","31",1200,20,"1004"
"8","12481","GEOGR","1200","070","Earth Sys/Global Cha","40","9","31",1200,70,"1004"
"10","1513","GEOGR","1400","001","Human Geography","112","58","54",1400,1,"1004"
"12","12484","GEOGR","1400","002","Human Geography","50","20","30",1400,2,"1004"
"14","1515","GEOGR","1600","001","World Regional Geogr","70","48","22",1600,1,"1004"
"16","13066","GEOGR","1600","090","World Regional Geogr","30","33","-3",1600,90,"1004"
"18","6980","GEOGR","3020","001","Spatial Data Analysis","110","49","61",3020,1,"1004"
"20","6981","GEOGR","3020","002","Spatial Data Analysis","36","25","11",3020,2,"1004"
"22","6982","GEOGR","3020","003","Spatial Data Analysis","36","8","28",3020,3,"1004"
"24","11881","GEOGR","3020","004","Spatial Data Analysis","38","16","22",3020,4,"1004"
"26","6983","GEOGR","3110","001","Remote Sensing/Envrnmnt","50","26","24",3110,1,"1004"
"28","6984","GEOGR","3310","001","Intro Natural Hazards","50","27","23",3310,1,"1004"
"30","1520","GEOGR","3350","001","Resource Consrv/Env Mgt","35","24","11",3350,1,"1004"
"32","13435","GEOGR","3360","001","US-Utah Quakes/Floods","30","8","22",3360,1,"1004"
"34","7187","GEOGR","3460","001","Military Geography","50","23","27",3460,1,"1004"
"36","11896","GEOGR","3620","001","United States","100","57","43",3620,1,"1004"
"38","6985","GEOGR","3640","001","East & Southeast Asia","112","33","79",3640,1,"1004"
"40","12487","GEOGR","3963","001","Case Studies","20","0","20",3963,1,"1004"
"42","12488","GEOGR","3963","002","Excursions in Utah","45","37","8",3963,2,"1004"
"44","2750","GEOGR","4999","001","Honors Thesis/Project","20","0","20",4999,1,"1004"
"46","6986","GEOGR","5100","001","Aerial Photo Interp","35","20","15",5100,1,"1004"
"48","6987","GEOGR","5140","001","Intro GIS Methods","25","11","14",5140,1,"1004"
"50","6988","GEOGR","5140","002","Intro GIS Methods","10","6","4",5140,2,"1004"
"52","6989","GEOGR","5140","003","Intro GIS Methods","10","3","7",5140,3,"1004"
"54","11886","GEOGR","5140","004","Intro GIS Methods","5","2","3",5140,4,"1004"
"56","11903","GEOGR","5160","001","Advanced GIS Methds II","20","8","12",5160,1,"1004"
"58","11900","GEOGR","5160","002","Advanced GIS Methds II","10","5","5",5160,2,"1004"
"60","11901","GEOGR","5160","003","Advanced GIS Methds II","10","3","7",5160,3,"1004"
"62","7189","GEOGR","5260","060","Snow & Avalanche","30","27","3",5260,60,"1004"
"64","7190","GEOGR","5260","061","Snow & Avalanche","30","27","3",5260,61,"1004"
"66","6990","GEOGR","5290","001","Case Studies Paleosc","10","4","6",5290,1,"1004"
"68","****","GEOGR","5340","001","This class has been cancelled","0","0","0",5340,1,"1004"
"70","2755","GEOGR","5810","001","Field Sem-Great Basin","20","11","9",5810,1,"1004"
"72","6992","GEOGR","5810","002","Field Sem-Color.Plateau","18","17","1",5810,2,"1004"
"74","13582","GEOGR","5940","001","Internship","10","4","6",5940,1,"1004"
"76","14063","GEOGR","5940","002","Internship","10","1","9",5940,2,"1004"
"78","2758","GEOGR","5950","001","Indiv Projects","15","1","14",5950,1,"1004"
"80","14069","GEOGR","5950","005","Indiv Projects","10","1","9",5950,5,"1004"
