"PreMajor","IMajor","FMajor","Masters","PhD","Prof","NM","total","MeanAge","Males","White","FT","Transfer","Resident","Foreign","MeanCredits","MeanTransCredit","MeanUCredit","MeanUGPA","MeanHSGPA","MeanTransGPA","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","Fresh","Soph","Jr","Sen","Grad","C1","C2","C3","C4","C5","HS1","HS2","HS3","HS4","HS5","T1","T2","T3","T4","T5","cnum","secnum","term","Dept"
"13","1","49","0","0","0","0","63","23.2","40%","70%","89%","49%","90%","0%","14.0","47.2","49.0","2.90","3.39","2.98","Sociology","SS Behav Science & Health","Law","Political Science","Education","Anthropology","History","Human Develop & Family Std","English","Intmd Psychology","3%","13%","44%","40%","0%","SOC 3140 - Social Theory","SOC 3112 - Social Statistics","SOC 3562 - Juvenile Delinquency","SOC 3431 - Social Change","SOC 3337 - Sociology Of Gender","JUDGE MEMORIAL HIGH","MURRAY HIGH SCHOOL","EAST HIGH SCHOOL","FREMONT HIGH SCHOOL","OLYMPUS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","DIXIE STATE COLLEGE","UTAH STATE UNIVERSITY","WESTMINSTER COLLEGE OF SALT LAKE CITY",3111,1,1044,"ANTHR"
"9","0","32","0","0","0","1","42","23.7","40%","74%","81%","52%","95%","2%","13.2","46.0","53.8","3.08","3.41","3.23","Sociology","Social Work","SS Behav Science & Health","Undeclared","History","Anthropology","Biology","Political Science","Exercise & Sport Sci","English","2%","5%","55%","38%","0%","SOC 3140 - Social Theory","SOC 3111 - Research Methods","SOC 3560 - Deviant Beh/Soc Control","SOC 3562 - Juvenile Delinquency","SOC 3471 - Soc Of Health","BRIGHTON HIGH SCHOOL","OLYMPUS HIGH SCHOOL","UINTAH HIGH SCHOOL","ARROWHEAD HIGH SCHOO","COPPER HILLS HIGH SC","SALT LAKE COMMUNITY COLLEGE","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","WEBER STATE UNIVERSITY",3112,1,1048,"ANTHR"
"12","1","39","0","0","0","2","54","23.9","54%","78%","80%","37%","89%","2%","12.8","46.6","66.0","2.96","3.32","3.07","Sociology","Undeclared","SS Behav Science & Health","Business","Medicine","Psychology","Political Science","Intmd Psychology","Non Matriculated","Mass Communication","2%","15%","44%","39%","0%","SOC 3030 - Social Structure","SOC 3140 - Social Theory","SOC 3020 - Social Psychology","SOC 3112 - Social Statistics","SOC 3561 - Criminology","JUDGE MEMORIAL HIGH","COTTONWOOD HIGH SCHO","BRIGHTON HIGH SCHOOL","OLYMPUS HIGH SCHOOL","VIEWMONT HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","DIXIE STATE COLLEGE","WEBER STATE UNIVERSITY","FRESNO PACIFIC UNIVERSITY","TULSA JUNIOR COLLEGE",3111,1,1054,"ANTHR"
"0","0","1","0","0","0","0","1","24.0","0%","0%","100%","0%","100%","0%","13.0","35.5","76.0","3.64","2.83","3.04","Sociology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","100%","0%","PSYCH 3903 - Modes: Collab Learning","SOC 3471 - Soc Of Health","SOC 3965 - Special Topics","SOC 4999 - Honors Thesis/Project","","OLYMPUS HIGH SCHOOL",NA,NA,NA,NA,"0","0","0","0","0",4999,1,1054,"ANTHR"
"114","14","102","0","0","0","1","231","21.0","56%","77%","86%","24%","90%","3%","12.7","30.1","37.3","2.88","3.49","3.24","Undeclared","Business","Nursing","Sociology","Intmd Business","Medicine","Education","Mechanical Engg","Art","Law","49%","32%","13%","6%","0%","PHIL 1000 - Intro: Survey of Philosophy","WRTG 2010 - Intermediate Writing","BUS 1050 - Foundations of Business","IS 1420 - Computer Essentials","MATH 1090 - Coll Alg Bus/Soc Sci","SKYLINE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","DAVIS HIGH SCHOOL","HIGHLAND HIGH SCHOOL","MURRAY HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY",1010,1,1058,"ANTH"
"80","8","80","0","0","0","3","171","20.7","54%","85%","88%","23%","81%","4%","12.7","34.3","33.4","2.65","3.42","3.22","Undeclared","Business","Intmd Business","Sociology","Medicine","Psychology","Nursing","Education","Law","Exercise & Sport Sci","57%","23%","13%","6%","0%","BUS 1050 - Foundations of Business","WRTG 2010 - Intermediate Writing","MATH 1010 - Intrm Algebra","MATH 1090 - Coll Alg Bus/Soc Sci","HIST 1700 - American Civilization","DAVIS HIGH SCHOOL","OLYMPUS HIGH SCHOOL","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","HIGHLAND HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","LDS BUSINESS COLLEGE","SOUTHERN UTAH UNIVERSITY","WESTMINSTER COLLEGE OF SALT LAKE CITY",1010,2,1058,"ANTH"
"9","4","13","0","0","0","0","26","27.2","69%","100%","65%","46%","100%","0%","11.3","40.7","34.0","3.13","3.54","3.27","Undeclared","Business","Intmd Business","Education","Medicine","Japanese","International Studies","Anthropology","Pharmacy","Biology","19%","31%","42%","8%","0%","BUS 1050 - Foundations of Business","WRTG 3400 - Professional Writing","ART 1070 - NM Handbuild Ceramics","ANTH 1010 - Culture & Human Exper","SW 2300 - Soc. Welfare Institution","VIEWMONT HIGH SCHOOL","DAVIS HIGH SCHOOL","BOUNTIFUL HIGH SCHOO","EVANSTON HIGH SCHOOL","FLAGSTAFF HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","LDS BUSINESS COLLEGE",1010,20,1058,"ANTH"
"15","4","20","0","0","0","0","39","20.4","51%","79%","95%","33%","87%","0%","13.5","29.2","41.0","3.17","3.38","3.18","Undeclared","Intmd Business","Sociology","Art","Business","Film Studies","Modern Dance","History","Theatre","Economics","41%","36%","10%","13%","0%","WRTG 2010 - Intermediate Writing","HIST 1700 - American Civilization","PSY 1010 - General Psychology","MATH 1010 - Intrm Algebra","PHIL 2600 - World Religions","EAST HIGH SCHOOL","BRIGHTON HIGH SCHOOL","OGDEN SENIOR HIGH SC","OLYMPUS HIGH SCHOOL","AMERICAN SCHOOL","SALT LAKE COMMUNITY COLLEGE","AMERICAN ACADEMY OF DRAMATIC ARTS WEST","BRIGHAM YOUNG UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","COLLEGE OF CHARLESTON",1020,1,1058,"ANTH"
"24","2","29","0","0","0","0","55","20.8","58%","84%","85%","22%","87%","2%","12.9","41.0","36.7","2.85","3.46","3.34","Undeclared","Business","English","Medicine","Art","Physics","Theatre","Intmd Business","Architectural Studies","Political Science","42%","35%","13%","11%","0%","BUS 1050 - Foundations of Business","HIST 1700 - American Civilization","IS 1420 - Computer Essentials","ARTH 2500 - Intro Art History","WRTG 2010 - Intermediate Writing","SKYLINE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","ALTA HIGH SCHOOL","COPPER HILLS HIGH SC","EAST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","NORTHERN ARIZONA UNIVERSITY","SOUTHERN UTAH UNIVERSITY",1020,2,1058,"ANTH"
"12","0","45","0","0","0","0","57","23.5","56%","61%","88%","56%","81%","2%","12.8","51.7","54.9","2.82","3.32","3.09","Sociology","SS Behav Science & Health","Political Science","Social Work","Undeclared","Medical Lab Science","Psychology","Pharmacy","Medicine","Business","2%","16%","44%","39%","0%","SOC 3140 - Social Theory","SOC 3030 - Social Structure","SOC 3561 - Criminology","SOC 3112 - Social Statistics","ATHL 1200 - Football-Men","KAHUKU HIGH SCHOOL","SKYLINE HIGH SCHOOL","BINGHAM HIGH SCHOOL","KEARNS HIGH SCHOOL","NORTHRIDGE HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","SNOW COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY",3111,1,1058,"ANTH"
