"PreMajor","IMajor","FMajor","Masters","PhD","Prof","NM","total","MeanAge","Males","White","FT","Transfer","Resident","Foreign","MeanCredits","MeanTransCredit","MeanUCredit","MeanUGPA","MeanHSGPA","MeanTransGPA","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","Fresh","Soph","Jr","Sen","Grad","C1","C2","C3","C4","C5","HS1","HS2","HS3","HS4","HS5","T1","T2","T3","T4","T5","cnum","secnum","term","Dept"
"23","3","26","0","0","0","0","52","23.6","42%","63%","85%","50%","98%","0%","12.8","48.4","45.3","2.84","3.45","3.03","Sociology","Undeclared","Psychology","Human Develop & Family Std","Intmd Psychology","Business","Law","Economics","French","Philosophy","8%","25%","46%","21%","0%","SOC 3111 - Research Methods","SOC 3140 - Social Theory","SOC 3561 - Criminology","SOC 3112 - Social Statistics","SOC 3438 - Soc of Marriage & Fam","BRIGHTON HIGH SCHOOL","JUDGE MEMORIAL HIGH","COTTONWOOD HIGH SCHO","HILLCREST HIGH SCHOO","OLYMPUS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","DIXIE STATE COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","COLLEGE OF EASTERN UTAH",3020,1,1044,"GEOGR"
"16","1","44","0","0","0","0","61","22.6","30%","72%","82%","52%","84%","3%","13.0","46.9","50.3","2.88","3.33","3.11","Sociology","Undeclared","Communication Skills","Human Develop & Family Std","SS Behav Science & Health","Political Science","Anthropology","Mass Communication","Architectural Studies","Education","3%","20%","52%","25%","0%","SOC 3140 - Social Theory","SOC 3112 - Social Statistics","SOC 3365 - Ethnic Minorities Amer","ED PS 5965 - Special Topics","SOC 3431 - Social Change","BRIGHTON HIGH SCHOOL","SKYLINE HIGH SCHOOL","JUDGE MEMORIAL HIGH","OLYMPUS HIGH SCHOOL","PARK CITY HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","COLLEGE OF EASTERN UTAH",3020,2,1044,"GEOGR"
"10","0","46","0","0","0","0","56","23.2","38%","80%","84%","41%","89%","5%","13.4","46.3","66.9","2.87","3.25","2.91","Sociology","Anthropology","Law","Undeclared","Nursing","Human Develop & Family Std","Education","Meteorology","Architectural Studies","Civil Engg","0%","7%","41%","52%","0%","SOC 3560 - Deviant Beh/Soc Control","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","SOC 3020 - Social Psychology","SOC 3438 - Soc of Marriage & Fam","JORDAN HIGH SCHOOL","JUDGE MEMORIAL HIGH","SKYLINE HIGH SCHOOL","AMERICAN CMTY SCHOOL","ARROWHEAD HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","COLLEGE OF SOUTHERN IDAHO","DIXIE STATE COLLEGE","LDS BUSINESS COLLEGE",3140,1,1048,"GEOGR"
"5","0","40","0","0","0","1","46","22.5","41%","67%","85%","41%","78%","0%","13.4","43.1","61.9","2.76","3.30","3.11","Sociology","Psychology","Undeclared","Chinese","SS Behav Science & Health","Linguistics","National Student Exchange","Biology","Law",NA,"4%","7%","35%","54%","0%","SOC 3560 - Deviant Beh/Soc Control","ESSF 1310 - Bowling Elem","ATHL 1200 - Football-Men","SOC 3438 - Soc of Marriage & Fam","SOC 3112 - Social Statistics","JUDGE MEMORIAL HIGH","SPRINGVILLE HIGH SCH","AMES HIGH SCHOOL","ARVADA SENIOR HIGH S","BARTLESVILLE HIGH SC","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","WESTMINSTER COLLEGE OF SALT LAKE CITY","DIXIE STATE COLLEGE","EL CAMINO COLLEGE",3140,2,1048,"GEOGR"
"8","7","18","0","0","0","0","33","24.5","36%","73%","76%","61%","82%","0%","13.2","52.4","42.7","2.81","3.62","3.00","Sociology","Intmd Psychology","Psychology","Political Science","Business","English","Exercise & Sport Sci","Speech Communication","SS Behav Science & Health","Undeclared","3%","15%","48%","33%","0%","SOC 3111 - Research Methods","PSYCH 3000 - Statistical Methods Psy","PSYCH 3400 - Abnormal Behavior","SOC 3140 - Social Theory","PSYCH 3440 - Personality Theory","JORDAN HIGH SCHOOL","KEARNS HIGH SCHOOL","BOUNTIFUL HIGH SCHOO","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","ARIZONA STATE UNIVERSITY","CALIFORNIA STATE UNIVERSITY FULLERTON","CRAFTON HILLS COLLEGE",3020,1,1054,"GEOGR"
"8","3","49","0","0","0","0","60","22.9","53%","62%","85%","37%","75%","2%","13.5","38.0","59.1","2.93","3.40","3.12","Sociology","Undeclared","Psychology","Human Develop & Family Std","Mass Communication","Intmd Psychology","Business","English","Economics","History","3%","20%","28%","48%","0%","SOC 3112 - Social Statistics","SOC 3030 - Social Structure","SOC 3140 - Social Theory","SOC 3380 - Race/Ethncty/Cls/Gender","SOC 3561 - Criminology","KAHUKU HIGH SCHOOL","ALTA HIGH SCHOOL","JORDAN HIGH SCHOOL","JUDGE MEMORIAL HIGH","AMERICAN FORK HIGH S","SALT LAKE COMMUNITY COLLEGE","WESTMINSTER COLLEGE OF SALT LAKE CITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","WEBER STATE UNIVERSITY","DIXIE STATE COLLEGE",3020,2,1054,"GEOGR"
"12","3","39","0","0","0","1","55","23.4","47%","69%","84%","64%","87%","4%","12.9","52.8","46.2","2.77","3.47","3.01","Sociology","Undeclared","Intmd Psychology","Political Science","Social Work","Medical Lab Science","Art","SS Behav Science & Health","Civil Engg","Business","4%","25%","36%","35%","0%","SOC 3111 - Research Methods","SOC 3112 - Social Statistics","SOC 3337 - Sociology Of Gender","SOC 3561 - Criminology","SOC 3438 - Soc of Marriage & Fam","BINGHAM HIGH SCHOOL","HIGHLAND HIGH SCHOOL","SKYLINE HIGH SCHOOL","ANTIOCH HIGH SCHOOL","BEAR RIVER HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE",3140,1,1058,"GEOG"
"5","1","38","0","0","0","0","44","25.4","39%","68%","82%","50%","84%","2%","12.7","55.9","67.9","2.86","3.11","3.10","Sociology","Psychology","Undeclared","Political Science","Intmd Psychology","Medicine","Law","International Studies","Education",NA,"0%","18%","30%","52%","0%","SOC 3030 - Social Structure","SOC 3020 - Social Psychology","SOC 3111 - Research Methods","SOC 3560 - Deviant Beh/Soc Control","SOC 3565 - Women and Crime","PARK CITY HIGH SCHOO","JUAN DIEGO CATHOLIC","TOOELE HIGH SCHOOL","ALTA HIGH SCHOOL","CAMELBACK HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","COFFEYVILLE COMMUNITY COLLEGE","COLLEGE OF SOUTHERN IDAHO","DIABLO VALLEY COLLEGE",3140,2,1058,"GEOG"
"6","6","27","0","0","0","1","40","23.8","60%","78%","73%","48%","90%","0%","12.6","43.8","52.1","3.01","3.44","3.04","Sociology","Intmd Psychology","Undeclared","Intmd Business","Psychology","Speech Communication","Social Work","SS Behav Science & Health","Consumer & Community Stds","Business","8%","25%","35%","33%","0%","SOC 3140 - Social Theory","SOC 3560 - Deviant Beh/Soc Control","PSY 3000 - Statistical Methods Psy","SOC 3561 - Criminology","SOC 3471 - Soc Of Health","ALTA HIGH SCHOOL","HILLCREST HIGH SCHOO","BINGHAM HIGH SCHOOL","BOUNTIFUL HIGH SCHOO","DAVIS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","LDS BUSINESS COLLEGE","MESA COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE",3020,1,1064,"GEOG"
"8","4","39","0","0","0","0","51","23.3","47%","82%","84%","53%","96%","0%","12.7","44.5","62.5","2.89","3.37","3.11","Sociology","Undeclared","Psychology","Intmd Psychology","Political Science","Education","Medicine","Business","Mechanical Engg","International Studies","0%","12%","43%","45%","0%","SOC 3111 - Research Methods","SOC 3020 - Social Psychology","SOC 3560 - Deviant Beh/Soc Control","SOC 3337 - Sociology Of Gender","SOC 3965 - Special Topics","HIGHLAND HIGH SCHOOL","JUDGE MEMORIAL HIGH","MURRAY HIGH SCHOOL","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","DIXIE STATE COLLEGE","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY",3140,1,1068,"GEOG"
