"PreMajor","IMajor","FMajor","Masters","PhD","Prof","NM","total","MeanAge","Males","White","FT","Transfer","Resident","Foreign","MeanCredits","MeanTransCredit","MeanUCredit","MeanUGPA","MeanHSGPA","MeanTransGPA","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","Fresh","Soph","Jr","Sen","Grad","C1","C2","C3","C4","C5","HS1","HS2","HS3","HS4","HS5","T1","T2","T3","T4","T5","cnum","secnum","term","Dept"
"16","4","38","0","0","0","0","58","23.2","57%","64%","84%","50%","79%","3%","12.9","52.8","45.3","2.77","3.11","3.03","Sociology","Undeclared","Psychology","Business","Mass Communication","Education","Computer Science","Economics","Intmd Business","Intmd Psychology","3%","28%","38%","31%","0%","SOC 3140 - Social Theory","SOC 3562 - Juvenile Delinquency","SOC 3431 - Social Change","SOC 3438 - Soc of Marriage & Fam","SOC 3433 - Formal Organizations","MURRAY HIGH SCHOOL","PARK CITY HIGH SCHOO","JORDAN HIGH SCHOOL","JUDGE MEMORIAL HIGH","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","WEBER STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","COLLEGE OF THE CANYONS",3030,1,1044,"POL S"
"13","1","35","0","0","0","1","50","24.5","54%","76%","86%","60%","84%","2%","13.5","56.3","43.4","2.80","3.13","3.00","Sociology","Undeclared","Education","Human Develop & Family Std","Political Science","Mass Communication","Architectural Studies","Mathematics","Communication Skills","Law","4%","18%","52%","26%","0%","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","SOC 3562 - Juvenile Delinquency","SOC 3030 - Social Structure","SOC 3337 - Sociology Of Gender","HILLCREST HIGH SCHOO","PARK CITY HIGH SCHOO","JUDGE MEMORIAL HIGH","BRIGHTON HIGH SCHOOL","CYPRUS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","DIXIE STATE COLLEGE","UTAH VALLEY STATE COLLEGE",3140,1,1044,"POL S"
"3","9","21","0","0","0","0","33","24.9","21%","85%","91%","58%","97%","0%","14.2","44.6","56.5","3.28","3.55","3.29","Intmd Psychology","Political Science","Sociology","English","Medicine","Intmd Business","SS Behav Science & Health","Spanish","SS Composite Tchg","Anthropology","0%","9%","33%","58%","0%","PSYCH 3010 - Research Methods Psych","BIOL 2020 - Princ of Cell Biology","UGS 3025 - Service Scholar Seminar","SOC 3438 - Soc of Marriage & Fam","ESSF 1700 - Yoga Elementary","ALTA HIGH SCHOOL","COTTONWOOD HIGH SCHO","BOUNTIFUL HIGH SCHOO","EAST HIGH SCHOOL","GRAND COUNTY HIGH SC","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","DIXIE STATE COLLEGE","SNOW COLLEGE",3200,1,1044,"POL S"
"7","2","57","0","0","0","1","67","25.7","55%","82%","88%","57%","93%","0%","13.9","52.3","59.5","3.19","3.44","3.10","Political Science","Sociology","Biology","Mass Communication","Special Education","Environmental Studies","Speech Communication","Business","Undeclared","Social Work","3%","3%","19%","75%","0%","SOC 3140 - Social Theory","WRTG 3400 - Professional Writing","POL S 5810 - Senior Seminar","SOC 3562 - Juvenile Delinquency","ED PS 5965 - Special Topics","EAST HIGH SCHOOL","OLYMPUS HIGH SCHOOL","HIGHLAND HIGH SCHOOL","JUDGE MEMORIAL HIGH","OGDEN SENIOR HIGH SC","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","DIXIE STATE COLLEGE",3450,1,1044,"POL S"
"30","0","30","0","0","0","1","61","21.9","44%","67%","85%","20%","85%","5%","13.1","31.9","50.4","2.87","3.31","2.94","Undeclared","Sociology","Education","Psychology","Business","Human Develop & Family Std","Art","Economics","Computer Science","Electrical Engg","28%","34%","18%","20%","0%","ESSF 1310 - Bowling Elem","BIOL 2320 - Human Physiology","FD NU 1020 - Sci Fndtn Nutr & Health","SOC 3140 - Social Theory","SOC 3030 - Social Structure","OLYMPUS HIGH SCHOOL","ALTA HIGH SCHOOL","COTTONWOOD HIGH SCHO","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","CRAFTON HILLS COLLEGE","FOOTHILL COLLEGE",1020,1,1048,"POL S"
"33","3","16","0","0","0","2","54","21.4","57%","83%","91%","26%","83%","4%","12.9","34.1","30.9","2.78","3.44","3.29","Undeclared","Business","Education","Law","Computer Science","Intmd Business","Sociology","Political Science","Mass Communication","English","43%","31%","19%","7%","0%","BUS 1010 - Foundations of Business","IS 1420 - Computer Essentials","ECON 2010 - Princ Of Microeconomics","PHIL 1002 - Intro: God, Faith, & Reason","ANTHR 1101 - Culture & Human Exper","BRIGHTON HIGH SCHOOL","DAVIS HIGH SCHOOL","HIGHLAND HIGH SCHOOL","OLYMPUS HIGH SCHOOL","SKYLINE HIGH SCHOOL","UTAH VALLEY STATE COLLEGE","SALT LAKE COMMUNITY COLLEGE","UTAH STATE UNIVERSITY","ARIZONA STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY",1020,2,1048,"POL S"
"8","4","24","0","0","0","1","37","24.1","59%","70%","86%","43%","92%","0%","13.5","44.7","55.1","2.89","3.38","3.29","Sociology","Intmd Psychology","Economics","Undeclared","Political Science","Psychology","Chemistry","SS Behav Science & Health","Mechanical Engg","Civil Engg","5%","19%","32%","43%","0%","SOC 3560 - Deviant Beh/Soc Control","SOC 3112 - Social Statistics","SOC 3438 - Soc of Marriage & Fam","SOC 3140 - Social Theory","SOC 3111 - Research Methods","HILLCREST HIGH SCHOO","SKYLINE HIGH SCHOOL","ALTA HIGH SCHOOL","BOUNTIFUL HIGH SCHOO","COTTONWOOD HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","DIXIE STATE COLLEGE","FORT LEWIS COLLEGE","GOLDEN WEST COLLEGE","SADDLEBACK COLLEGE",3030,1,1048,"POL S"
"10","0","46","0","0","0","0","56","23.2","38%","80%","84%","41%","89%","5%","13.4","46.3","66.9","2.87","3.25","2.91","Sociology","Anthropology","Law","Undeclared","Nursing","Human Develop & Family Std","Education","Meteorology","Architectural Studies","Civil Engg","0%","7%","41%","52%","0%","SOC 3560 - Deviant Beh/Soc Control","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","SOC 3020 - Social Psychology","SOC 3438 - Soc of Marriage & Fam","JORDAN HIGH SCHOOL","JUDGE MEMORIAL HIGH","SKYLINE HIGH SCHOOL","AMERICAN CMTY SCHOOL","ARROWHEAD HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","COLLEGE OF SOUTHERN IDAHO","DIXIE STATE COLLEGE","LDS BUSINESS COLLEGE",3140,1,1048,"POL S"
"19","2","19","0","0","0","1","41","21.2","46%","68%","90%","27%","85%","2%","13.0","36.0","35.8","3.13","3.56","3.21","Sociology","Undeclared","Business","Mass Communication","Intmd Business","Medicine","Mechanical Engg","Psychology","Electrical Engg","Exercise & Sport Sci","39%","22%","12%","27%","0%","SOC 3965 - Special Topics","WRTG 2010 - Intermediate Writing","MATH 1010 - Intrm Algebra","MUSIC 1640 - Introduction to Music","WRTG 3400 - Professional Writing","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","JUDGE MEMORIAL HIGH","ALTA HIGH SCHOOL","BEN LOMOND HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","FORT SCOTT COMMUNITY COLLEGE","SAMFORD UNIVERSITY",1020,1,1054,"POL S"
"8","7","18","0","0","0","0","33","24.5","36%","73%","76%","61%","82%","0%","13.2","52.4","42.7","2.81","3.62","3.00","Sociology","Intmd Psychology","Psychology","Political Science","Business","English","Exercise & Sport Sci","Speech Communication","SS Behav Science & Health","Undeclared","3%","15%","48%","33%","0%","SOC 3111 - Research Methods","PSYCH 3000 - Statistical Methods Psy","PSYCH 3400 - Abnormal Behavior","SOC 3140 - Social Theory","PSYCH 3440 - Personality Theory","JORDAN HIGH SCHOOL","KEARNS HIGH SCHOOL","BOUNTIFUL HIGH SCHOO","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","ARIZONA STATE UNIVERSITY","CALIFORNIA STATE UNIVERSITY FULLERTON","CRAFTON HILLS COLLEGE",3020,1,1054,"POL S"
