"PreMajor","IMajor","FMajor","Masters","PhD","Prof","NM","total","MeanAge","Males","White","FT","Transfer","Resident","Foreign","MeanCredits","MeanTransCredit","MeanUCredit","MeanUGPA","MeanHSGPA","MeanTransGPA","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","Fresh","Soph","Jr","Sen","Grad","C1","C2","C3","C4","C5","HS1","HS2","HS3","HS4","HS5","T1","T2","T3","T4","T5","cnum","secnum","term","Dept"
"146","23","103","0","0","0","2","274","21.1","56%","75%","85%","22%","85%","3%","12.9","28.1","27.8","2.84","3.39","3.18","Undeclared","Business","Intmd Business","Education","Dentistry","Law","Psychology","Biology","Sociology","Physical Therapy","50%","29%","14%","7%","0%","PSYCH 1010 - General Psychology","PHIL 1010 - Intro To Philosophy","ECON 2010 - Princ Of Microeconomics","WRTG 2010 - Intermediate Writing","PHIL 1600 - World Religions","BRIGHTON HIGH SCHOOL","OLYMPUS HIGH SCHOOL","SKYLINE HIGH SCHOOL","EAST HIGH SCHOOL","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","UTAH VALLEY STATE COLLEGE","WEBER STATE UNIVERSITY","UTAH STATE UNIVERSITY",1010,1,1044,"PSYCH"
"113","11","77","0","0","0","1","202","21.6","55%","76%","88%","22%","85%","4%","13.4","29.7","27.5","2.77","3.44","3.24","Undeclared","Business","Medicine","Sociology","Pharmacy","Intmd Business","Nursing","Law","Dentistry","English","47%","30%","15%","8%","0%","HIST 1700 - American Civilization","BUS 1010 - Foundations of Business","PSYCH 1010 - General Psychology","WRTG 2010 - Intermediate Writing","MATH 1100 - Quant Analysis","SKYLINE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","JUDGE MEMORIAL HIGH","OLYMPUS HIGH SCHOOL","EAST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","UTAH STATE UNIVERSITY","COLLEGE OF EASTERN UTAH","WEBER STATE UNIVERSITY",1010,2,1044,"PSYCH"
"126","21","89","0","0","0","1","238","21.4","61%","79%","79%","24%","90%","2%","12.5","35.3","39.6","2.86","3.46","3.13","Undeclared","Business","Intmd Business","Sociology","Psychology","Medicine","Education","Pharmacy","Nursing","Exercise & Sport Sci","42%","31%","19%","8%","0%","BUS 1010 - Foundations of Business","WRTG 2010 - Intermediate Writing","PSYCH 1010 - General Psychology","PHIL 1000 - Intro: Survey of Philosophy","MATH 1090 - Coll Alg Bus/Soc Sci","SKYLINE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","COTTONWOOD HIGH SCHO","JUDGE MEMORIAL HIGH","EAST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","LDS BUSINESS COLLEGE","SOUTHERN UTAH UNIVERSITY",1010,1,1048,"PSYCH"
"116","10","71","0","0","0","1","198","20.9","53%","76%","88%","23%","87%","5%","12.9","34.5","37.5","2.68","3.39","3.25","Undeclared","Business","Education","Psychology","Medicine","Nursing","Sociology","Political Science","Intmd Psychology","Law","55%","23%","16%","6%","0%","WRTG 2010 - Intermediate Writing","HIST 1700 - American Civilization","BUS 1010 - Foundations of Business","MATH 1010 - Intrm Algebra","PSYCH 1010 - General Psychology","ALTA HIGH SCHOOL","EAST HIGH SCHOOL","HIGHLAND HIGH SCHOOL","OLYMPUS HIGH SCHOOL","SKYLINE HIGH SCHOOL","UTAH VALLEY STATE COLLEGE","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","DIXIE STATE COLLEGE","LDS BUSINESS COLLEGE",1010,2,1048,"PSYCH"
"10","0","44","0","0","0","1","55","24.2","49%","85%","80%","53%","98%","0%","13.2","42.0","60.8","3.00","3.27","3.17","Sociology","Political Science","Mass Communication","SS Behav Science & Health","Speech Communication","Biology","Undeclared","Communication Skills","International Studies","Spanish","0%","15%","25%","60%","0%","SOC 3560 - Deviant Beh/Soc Control","SOC 3111 - Research Methods","ESSF 1310 - Bowling Elem","SOC 3140 - Social Theory","NV SC 1010 - Intro To Naval Science","SKYLINE HIGH SCHOOL","BINGHAM HIGH SCHOOL","OLYMPUS HIGH SCHOOL","PARK CITY HIGH SCHOO","WEST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","WEBER STATE UNIVERSITY","SOUTHERN UTAH UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO",3450,1,1048,"PSYCH"
"168","10","81","0","0","0","1","260","21.4","63%","71%","78%","25%","83%","2%","12.3","37.4","25.5","2.72","3.38","3.16","Business","Undeclared","Education","Psychology","Sociology","Nursing","Medicine","Exercise & Sport Sci","Intmd Business","Intmd Psychology","45%","37%","11%","7%","0%","PSYCH 1010 - General Psychology","WRTG 2010 - Intermediate Writing","HIST 1700 - American Civilization","MATH 1010 - Intrm Algebra","IS 1420 - Computer Essentials","OLYMPUS HIGH SCHOOL","EAST HIGH SCHOOL","HIGHLAND HIGH SCHOOL","BRIGHTON HIGH SCHOOL","COTTONWOOD HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","LDS BUSINESS COLLEGE","WEBER STATE UNIVERSITY",1010,1,1054,"PSYCH"
"105","13","69","0","0","0","4","191","21.3","66%","73%","88%","21%","85%","5%","13.4","33.0","28.4","2.80","3.38","3.21","Undeclared","Business","Education","Intmd Business","Sociology","Psychology","Nursing","Exercise & Sport Sci","Art","Law","49%","28%","18%","5%","0%","WRTG 2010 - Intermediate Writing","HIST 1700 - American Civilization","BUS 1010 - Foundations of Business","PSYCH 1010 - General Psychology","IS 1420 - Computer Essentials","PARK CITY HIGH SCHOO","HIGHLAND HIGH SCHOOL","TAYLORSVILLE HIGH SC","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","DIXIE STATE COLLEGE","UTAH STATE UNIVERSITY","SNOW COLLEGE",1010,2,1054,"PSYCH"
"20","2","7","0","0","0","1","30","22.4","67%","87%","53%","20%","93%","0%","10.8","36.4","25.1","2.94","3.52","3.38","Business","Undeclared","Education","Nursing","Medicine","Physics","Intmd Business","Law","Accounting","Dentistry","47%","27%","10%","17%","0%","PSYCH 1010 - General Psychology","MATH 1100 - Quant Analysis","HIST 1700 - American Civilization","PHIL 1000 - Intro: Survey of Philosophy","IS 1420 - Computer Essentials","BOUNTIFUL HIGH SCHOO","VIEWMONT HIGH SCHOOL","WOODS CROSS HIGH SCH","CLEARFIELD HIGH SCHO","COTTONWOOD HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","LDS BUSINESS COLLEGE","SANTA BARBARA CITY COLLEGE","UTAH STATE UNIVERSITY",1010,20,1054,"PSYCH"
"0","0","1","0","0","0","0","1","24.0","0%","0%","100%","0%","100%","0%","13.0","35.5","76.0","3.64","2.83","3.04","Sociology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","100%","0%","PSYCH 3903 - Modes: Collab Learning","SOC 3471 - Soc Of Health","SOC 3965 - Special Topics","SOC 4999 - Honors Thesis/Project","","OLYMPUS HIGH SCHOOL",NA,NA,NA,NA,"0","0","0","0","0",4999,1,1054,"PSYCH"
"114","14","102","0","0","0","1","231","21.0","56%","77%","86%","24%","90%","3%","12.7","30.1","37.3","2.88","3.49","3.24","Undeclared","Business","Nursing","Sociology","Intmd Business","Medicine","Education","Mechanical Engg","Art","Law","49%","32%","13%","6%","0%","PHIL 1000 - Intro: Survey of Philosophy","WRTG 2010 - Intermediate Writing","BUS 1050 - Foundations of Business","IS 1420 - Computer Essentials","MATH 1090 - Coll Alg Bus/Soc Sci","SKYLINE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","DAVIS HIGH SCHOOL","HIGHLAND HIGH SCHOOL","MURRAY HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY",1010,1,1058,"PSY"
